,债券唯一标识(年份-季度-证券代码),发债主体评级发布时间(中诚信证券评估有限公司),发债主体评级类型(中诚信证券评估有限公司),发债主体评级信用等级(中诚信证券评估有限公司),发债主体评级评估机构(中诚信证券评估有限公司),发债主体评级投资等级(中诚信证券评估有限公司),发债主体评级预期(中诚信证券评估有限公司),发债主体评级等级含义(中诚信证券评估有限公司),发债主体评级发布时间(标准普尔评级服务公司),发债主体评级类型(标准普尔评级服务公司),发债主体评级信用等级(标准普尔评级服务公司),发债主体评级评估机构(标准普尔评级服务公司),发债主体评级投资等级(标准普尔评级服务公司),发债主体评级预期(标准普尔评级服务公司),发债主体评级等级含义(标准普尔评级服务公司),发债主体评级发布时间(联合资信评估有限公司),发债主体评级类型(联合资信评估有限公司),发债主体评级信用等级(联合资信评估有限公司),发债主体评级评估机构(联合资信评估有限公司),发债主体评级投资等级(联合资信评估有限公司),发债主体评级预期(联合资信评估有限公司),发债主体评级等级含义(联合资信评估有限公司),发债主体评级发布时间(联合信用评级有限公司),发债主体评级类型(联合信用评级有限公司),发债主体评级信用等级(联合信用评级有限公司),发债主体评级评估机构(联合信用评级有限公司),发债主体评级投资等级(联合信用评级有限公司),发债主体评级预期(联合信用评级有限公司),发债主体评级等级含义(联合信用评级有限公司),发债主体评级发布时间(中债资信评估有限责任公司),发债主体评级类型(中债资信评估有限责任公司),发债主体评级信用等级(中债资信评估有限责任公司),发债主体评级评估机构(中债资信评估有限责任公司),发债主体评级投资等级(中债资信评估有限责任公司),发债主体评级预期(中债资信评估有限责任公司),发债主体评级等级含义(中债资信评估有限责任公司),发债主体评级发布时间(穆迪公司),发债主体评级类型(穆迪公司),发债主体评级信用等级(穆迪公司),发债主体评级评估机构(穆迪公司),发债主体评级投资等级(穆迪公司),发债主体评级预期(穆迪公司),发债主体评级等级含义(穆迪公司),发债主体评级发布时间(大公国际资信评估有限公司),发债主体评级类型(大公国际资信评估有限公司),发债主体评级信用等级(大公国际资信评估有限公司),发债主体评级评估机构(大公国际资信评估有限公司),发债主体评级投资等级(大公国际资信评估有限公司),发债主体评级预期(大公国际资信评估有限公司),发债主体评级等级含义(大公国际资信评估有限公司),发债主体评级发布时间(中诚信国际信用评级有限责任公司),发债主体评级类型(中诚信国际信用评级有限责任公司),发债主体评级信用等级(中诚信国际信用评级有限责任公司),发债主体评级评估机构(中诚信国际信用评级有限责任公司),发债主体评级投资等级(中诚信国际信用评级有限责任公司),发债主体评级预期(中诚信国际信用评级有限责任公司),发债主体评级等级含义(中诚信国际信用评级有限责任公司)
347,2017-4-011104003.IB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20171227,长期信用评级,A1,穆迪公司,投资级,稳定,A级债务为中上等级，有低信用风险;修正数字1表示该债务在所属同类评 级中排位较高,,,,,,,,,,,,,,
348,2011-2-011102002.IB,,,,,,,,,,,,,,,20110510,长期信用评级,AAA,联合资信评估有限公司,投资级,稳定,AAA级债为最高级债，其还本付息能力最强。,,,,,,,,,,,,,,,,,,,,,,20110621,长期信用评级,AAA,大公国际资信评估有限公司,投资级,稳定,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 ,20110624,长期信用评级,AAA,中诚信国际信用评级有限责任公司,投资级,稳定,受评对象偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。  
349,2016-1-011102005.IB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20160324,长期信用评级,AAA,大公国际资信评估有限公司,投资级,稳定,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 ,,,,,,,
350,2008-4-011101004.IB,,,,,,,,,,,,,,,20081014,长期信用评级,AAA,联合资信评估有限公司,投资级,稳定,AAA级债为最高级债，其还本付息能力最强。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351,2012-3-011104002.IB,,,,,,,,,,,,,,,20120720,长期信用评级,AAA,联合资信评估有限公司,投资级,稳定,AAA级债为最高级债，其还本付息能力最强。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352,2015-2-011105004.IB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20150428,长期信用评级,AAA,中诚信国际信用评级有限责任公司,投资级,稳定,受评对象偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。  
353,2015-1-011105005.IB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20150109,长期信用评级,AAA,中诚信国际信用评级有限责任公司,投资级,稳定,受评对象偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。  
354,2008-4-011102001.IB,,,,,,,,,,,,,,,20081212,长期信用评级,AAA,联合资信评估有限公司,投资级,稳定,AAA级债为最高级债，其还本付息能力最强。,,,,,,,,,,,,,,,,,,,,,,20081226,长期信用评级,AAA,大公国际资信评估有限公司,投资级,稳定,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 ,,,,,,,
355,2014-3-011102004.IB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140811,长期信用评级,AAA,中诚信国际信用评级有限责任公司,投资级,稳定,受评对象偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。  
356,2011-2-011102001.IB,,,,,,,,,,,,,,,20110510,长期信用评级,AAA,联合资信评估有限公司,投资级,稳定,AAA级债为最高级债，其还本付息能力最强。,,,,,,,,,,,,,,,,,,,,,,20110621,长期信用评级,AAA,大公国际资信评估有限公司,投资级,稳定,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 ,20110624,长期信用评级,AAA,中诚信国际信用评级有限责任公司,投资级,稳定,受评对象偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。  
357,2013-4-011001001.IB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20131226,长期信用评级,AAA+,中债资信评估有限责任公司,投资级,稳定,偿还债务的能力极强，基本不受利经济环境影响，违约风险极低,,,,,,,,,,,,,,,,,,,,,
358,2019-1-011101001.IB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20190111,长期信用评级,AAA+,中债资信评估有限责任公司,投资级,稳定,偿还债务的能力极强，基本不受利经济环境影响，违约风险极低,,,,,,,,,,,,,,,20190109,长期信用评级,AAA,中诚信国际信用评级有限责任公司,投资级,稳定,受评对象偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。  
359,2011-4-011001002.IB,,,,,,,,,,,,,,,20111020,长期信用评级,AAA,联合资信评估有限公司,投资级,稳定,AAA级债为最高级债，其还本付息能力最强。,,,,,,,,20111231,长期信用评级,AAA+,中债资信评估有限责任公司,投资级,稳定,偿还债务的能力极强，基本不受利经济环境影响，违约风险极低,,,,,,,,20111114,长期信用评级,AAA,大公国际资信评估有限公司,投资级,稳定,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 ,,,,,,,
360,2011-3-011101003.IB,,,,,,,,,,,,,,,20110902,长期信用评级,AAA,联合资信评估有限公司,投资级,稳定,AAA级债为最高级债，其还本付息能力最强。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
361,2014-1-011101001.IB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140324,长期信用评级,Aa3,穆迪公司,投资级,稳定,"Aa级债务的信用质量很高，只有极低的信用风险,修正数字3则表示该债务在所属同类评级中排位较低",,,,,,,,,,,,,,
362,2016-3-011001001.IB,,,,,,,,,,,,,,,20160725,长期信用评级,AAA,联合资信评估有限公司,投资级,稳定,AAA级债为最高级债，其还本付息能力最强。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20160728,长期信用评级,AAA,中诚信国际信用评级有限责任公司,投资级,稳定,受评对象偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。  
363,2007-4-011102005.IB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20071022,长期信用评级,AAA,中诚信国际信用评级有限责任公司,投资级,,受评对象偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。  
364,2011-1-011102005.IB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20110124,长期信用评级,AAA,大公国际资信评估有限公司,投资级,稳定,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 ,,,,,,,
365,2012-1-011001001.IB,,,,,,,,,,,,,,,20120216,长期信用评级,AAA,联合资信评估有限公司,投资级,稳定,AAA级债为最高级债，其还本付息能力最强。,,,,,,,,,,,,,,,,,,,,,,20120202,长期信用评级,AAA,大公国际资信评估有限公司,投资级,稳定,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 ,,,,,,,
366,2017-3-011102005.IB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20170707,长期信用评级,AAA,中诚信国际信用评级有限责任公司,投资级,稳定,受评对象偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。  
367,2012-4-011001002.IB,,,,,,,,,,,,,,,20121018,长期信用评级,AAA,联合资信评估有限公司,投资级,稳定,AAA级债为最高级债，其还本付息能力最强。,,,,,,,,20121226,长期信用评级,AAA+,中债资信评估有限责任公司,投资级,稳定,偿还债务的能力极强，基本不受利经济环境影响，违约风险极低,,,,,,,,,,,,,,,,,,,,,
368,2018-2-011001002.IB,20180621,长期信用评级,AAA,中诚信证券评估有限公司,投资级,稳定,受评主体偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低；债券信用质量极高，信用风险极低。,,,,,,,,20180626,长期信用评级,AAA,联合资信评估有限公司,投资级,稳定,AAA级债为最高级债，其还本付息能力最强。,,,,,,,,20180425,长期信用评级,AAA+,中债资信评估有限责任公司,投资级,稳定,偿还债务的能力极强，基本不受利经济环境影响，违约风险极低,,,,,,,,20180625,长期信用评级,AAA,大公国际资信评估有限公司,投资级,稳定,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 ,,,,,,,
369,2017-4-011102002.IB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20171109,长期信用评级,AAA,中诚信国际信用评级有限责任公司,投资级,稳定,受评对象偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。  
370,2013-1-011102005.IB,,,,,,,,,,,,,,,20130304,长期信用评级,AAA,联合资信评估有限公司,投资级,稳定,AAA级债为最高级债，其还本付息能力最强。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20130318,长期信用评级,AAA,中诚信国际信用评级有限责任公司,投资级,稳定,受评对象偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。  
371,2013-3-011102005.IB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20130711,长期信用评级,AAA,中诚信国际信用评级有限责任公司,投资级,稳定,受评对象偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。  
372,2014-1-011102001.IB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140310,长期信用评级,AAA,大公国际资信评估有限公司,投资级,稳定,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 ,,,,,,,
373,2016-3-011101002.IB,,,,,,,,,,,,,,,20160725,长期信用评级,AAA,联合资信评估有限公司,投资级,稳定,AAA级债为最高级债，其还本付息能力最强。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20160728,长期信用评级,AAA,中诚信国际信用评级有限责任公司,投资级,稳定,受评对象偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。  
374,2015-1-011001001.IB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20150122,长期信用评级,Aa3,穆迪公司,投资级,稳定,"Aa级债务的信用质量很高，只有极低的信用风险,修正数字3则表示该债务在所属同类评级中排位较低",,,,,,,,,,,,,,
375,2013-3-011101004.IB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20130729,长期信用评级,AAA+,中债资信评估有限责任公司,投资级,稳定,偿还债务的能力极强，基本不受利经济环境影响，违约风险极低,,,,,,,,,,,,,,,,,,,,,
376,2018-3-011101002.IB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20180727,长期信用评级,AAA,中诚信国际信用评级有限责任公司,投资级,稳定,受评对象偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。  
377,2019-1-011101002.IB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20190111,长期信用评级,AAA+,中债资信评估有限责任公司,投资级,稳定,偿还债务的能力极强，基本不受利经济环境影响，违约风险极低,,,,,,,,,,,,,,,20190109,长期信用评级,AAA,中诚信国际信用评级有限责任公司,投资级,稳定,受评对象偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。  
378,2011-1-011101002.IB,,,,,,,,,,,,,,,20110128,长期信用评级,AAA,联合资信评估有限公司,投资级,稳定,AAA级债为最高级债，其还本付息能力最强。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
379,2007-2-011104001.IB,,,,,,,,,,,,,,,20070625,长期信用评级,AAA,联合资信评估有限公司,投资级,稳定,AAA级债为最高级债，其还本付息能力最强。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380,2013-4-011102005.IB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20131024,长期信用评级,AAA,中诚信国际信用评级有限责任公司,投资级,稳定,受评对象偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。  
381,2014-4-011102005.IB,,,,,,,,,,,,,,,20141014,长期信用评级,AAA,联合资信评估有限公司,投资级,稳定,AAA级债为最高级债，其还本付息能力最强。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20141009,长期信用评级,AAA,中诚信国际信用评级有限责任公司,投资级,稳定,受评对象偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。  
382,2018-2-011102002.IB,,,,,,,,,,,,,,,20180614,长期信用评级,AAA,联合资信评估有限公司,投资级,稳定,AAA级债为最高级债，其还本付息能力最强。,,,,,,,,,,,,,,,,,,,,,,20180622,长期信用评级,AAA,大公国际资信评估有限公司,投资级,稳定,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 ,20180404,长期信用评级,AAA,中诚信国际信用评级有限责任公司,投资级,稳定,受评对象偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。  
383,2016-4-011102005.IB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20161008,长期信用评级,AAA,中诚信国际信用评级有限责任公司,投资级,稳定,受评对象偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。  
384,2009-2-011104002.IB,,,,,,,,,,,,,,,20090619,长期信用评级,AAA,联合资信评估有限公司,投资级,稳定,AAA级债为最高级债，其还本付息能力最强。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
385,2017-2-011001001.IB,20170605,长期信用评级,AAA,中诚信证券评估有限公司,投资级,稳定,受评主体偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低；债券信用质量极高，信用风险极低。,,,,,,,,20170630,长期信用评级,AAA,联合资信评估有限公司,投资级,稳定,AAA级债为最高级债，其还本付息能力最强。,,,,,,,,,,,,,,,,,,,,,,20170626,长期信用评级,AAA,大公国际资信评估有限公司,投资级,稳定,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 ,,,,,,,
386,2016-3-011105001.IB,,,,,,,,,,,,,,,,,,,,,,20160707,长期信用评级,AAA,联合信用评级有限公司,投资级,稳定,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低,,,,,,,,,,,,,,,,,,,,,,,,,,,,
387,2018-3-011105004.IB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20180726,长期信用评级,AAA,中诚信国际信用评级有限责任公司,投资级,稳定,受评对象偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。  
388,2008-4-011101003.IB,,,,,,,,,,,,,,,20081014,长期信用评级,AAA,联合资信评估有限公司,投资级,稳定,AAA级债为最高级债，其还本付息能力最强。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
389,2016-1-011101005.IB,,,,,,,,,,,,,,,20160120,长期信用评级,AAA,联合资信评估有限公司,投资级,稳定,AAA级债为最高级债，其还本付息能力最强。,,,,,,,,20160314,长期信用评级,AAA+,中债资信评估有限责任公司,投资级,稳定,偿还债务的能力极强，基本不受利经济环境影响，违约风险极低,20160330,长期信用评级,Aa3,穆迪公司,投资级,负面,"Aa级债务的信用质量很高，只有极低的信用风险,修正数字3则表示该债务在所属同类评级中排位较低",,,,,,,,,,,,,,
390,2019-1-011001002.IB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20190111,长期信用评级,AAA+,中债资信评估有限责任公司,投资级,稳定,偿还债务的能力极强，基本不受利经济环境影响，违约风险极低,,,,,,,,,,,,,,,20190109,长期信用评级,AAA,中诚信国际信用评级有限责任公司,投资级,稳定,受评对象偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。  
391,2011-4-011001001.IB,,,,,,,,,,,,,,,20111020,长期信用评级,AAA,联合资信评估有限公司,投资级,稳定,AAA级债为最高级债，其还本付息能力最强。,,,,,,,,20111231,长期信用评级,AAA+,中债资信评估有限责任公司,投资级,稳定,偿还债务的能力极强，基本不受利经济环境影响，违约风险极低,,,,,,,,20111114,长期信用评级,AAA,大公国际资信评估有限公司,投资级,稳定,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 ,,,,,,,
392,2009-4-011101001.IB,,,,,,,,,,,,,,,20091015,长期信用评级,AAA,联合资信评估有限公司,投资级,稳定,AAA级债为最高级债，其还本付息能力最强。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
393,2015-2-011101005.IB,,,,,,,,,,,,,,,20150527,长期信用评级,AAA,联合资信评估有限公司,投资级,稳定,AAA级债为最高级债，其还本付息能力最强。,,,,,,,,20150602,长期信用评级,AAA+,中债资信评估有限责任公司,投资级,稳定,偿还债务的能力极强，基本不受利经济环境影响，违约风险极低,20150420,长期信用评级,Aa3,穆迪公司,投资级,稳定,"Aa级债务的信用质量很高，只有极低的信用风险,修正数字3则表示该债务在所属同类评级中排位较低",20150626,长期信用评级,AAA,大公国际资信评估有限公司,投资级,稳定,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 ,,,,,,,
394,2013-2-011104003.IB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20130530,长期信用评级,AAA+,中债资信评估有限责任公司,投资级,稳定,偿还债务的能力极强，基本不受利经济环境影响，违约风险极低,,,,,,,,,,,,,,,,,,,,,
395,2019-2-011105002.IB,,,,,,,,,,,,,,,,,,,,,,20190610,长期信用评级,AAA,联合信用评级有限公司,投资级,稳定,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低,,,,,,,,,,,,,,,,,,,,,,,,,,,,
396,2007-4-011104002.IB,,,,,,,,,,,,,,,20071022,长期信用评级,AAA,联合资信评估有限公司,投资级,稳定,AAA级债为最高级债，其还本付息能力最强。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,2019-2-011104002.IB,,,,,,,,,,,,,,,,,,,,,,20190619,长期信用评级,AAA,联合信用评级有限公司,投资级,稳定,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低,,,,,,,,,,,,,,,,,,,,,,,,,,,,
398,2013-1-011105005.IB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20130314,长期信用评级,AAA,中诚信国际信用评级有限责任公司,投资级,稳定,受评对象偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。  
399,2009-2-011101004.IB,,,,,,,,,,,,,,,20090618,长期信用评级,AAA,联合资信评估有限公司,投资级,稳定,AAA级债为最高级债，其还本付息能力最强。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,2012-1-011102005.IB,,,,,,,,,,,,,,,20120213,长期信用评级,AAA,联合资信评估有限公司,投资级,稳定,AAA级债为最高级债，其还本付息能力最强。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401,2008-4-011104003.IB,,,,,,,,,,,,,,,20081031,长期信用评级,AAA,联合资信评估有限公司,投资级,稳定,AAA级债为最高级债，其还本付息能力最强。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402,2009-4-011102005.IB,,,,,,,,,,,,,,,20091106,长期信用评级,AAA,联合资信评估有限公司,投资级,稳定,AAA级债为最高级债，其还本付息能力最强。,,,,,,,,,,,,,,,,,,,,,,20091202,长期信用评级,AAA,大公国际资信评估有限公司,投资级,稳定,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 ,,,,,,,
403,2015-4-011101003.IB,,,,,,,,,,,,,,,20151021,长期信用评级,AAA,联合资信评估有限公司,投资级,稳定,AAA级债为最高级债，其还本付息能力最强。,,,,,,,,,,,,,,,20151216,长期信用评级,Aa3,穆迪公司,投资级,稳定,"Aa级债务的信用质量很高，只有极低的信用风险,修正数字3则表示该债务在所属同类评级中排位较低",,,,,,,,,,,,,,
404,2014-3-011001002.IB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140729,长期信用评级,Aa3,穆迪公司,投资级,稳定,"Aa级债务的信用质量很高，只有极低的信用风险,修正数字3则表示该债务在所属同类评级中排位较低",,,,,,,,,,,,,,
405,2007-4-011102001.IB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20071022,长期信用评级,AAA,中诚信国际信用评级有限责任公司,投资级,,受评对象偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。  
406,2016-2-011101002.IB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20160622,长期信用评级,AAA,大公国际资信评估有限公司,投资级,稳定,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 ,20160413,长期信用评级,AAA,中诚信国际信用评级有限责任公司,投资级,稳定,受评对象偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。  
407,2016-1-011101001.IB,,,,,,,,,,,,,,,20160120,长期信用评级,AAA,联合资信评估有限公司,投资级,稳定,AAA级债为最高级债，其还本付息能力最强。,,,,,,,,20160314,长期信用评级,AAA+,中债资信评估有限责任公司,投资级,稳定,偿还债务的能力极强，基本不受利经济环境影响，违约风险极低,20160330,长期信用评级,Aa3,穆迪公司,投资级,负面,"Aa级债务的信用质量很高，只有极低的信用风险,修正数字3则表示该债务在所属同类评级中排位较低",,,,,,,,,,,,,,
408,2017-3-011102002.IB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20170707,长期信用评级,AAA,中诚信国际信用评级有限责任公司,投资级,稳定,受评对象偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。  
409,2018-3-011105002.IB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20180726,长期信用评级,AAA,中诚信国际信用评级有限责任公司,投资级,稳定,受评对象偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。  
410,2017-1-011102002.IB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20170217,长期信用评级,AAA,中诚信国际信用评级有限责任公司,投资级,稳定,受评对象偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。  
411,2016-2-011102003.IB,,,,,,,,,,,,,,,20160513,长期信用评级,AAA,联合资信评估有限公司,投资级,稳定,AAA级债为最高级债，其还本付息能力最强。,,,,,,,,,,,,,,,,,,,,,,20160624,长期信用评级,AAA,大公国际资信评估有限公司,投资级,稳定,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 ,20160629,长期信用评级,AAA,中诚信国际信用评级有限责任公司,投资级,稳定,受评对象偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。  
412,2016-3-011104002.IB,,,,,,,,,,,,,,,,,,,,,,20160908,长期信用评级,AAA,联合信用评级有限公司,投资级,稳定,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低,20160719,长期信用评级,AAA+,中债资信评估有限责任公司,投资级,稳定,偿还债务的能力极强，基本不受利经济环境影响，违约风险极低,,,,,,,,,,,,,,,,,,,,,
413,2013-2-011101005.IB,,,,,,,,,,,,,,,20130624,长期信用评级,AAA,联合资信评估有限公司,投资级,稳定,AAA级债为最高级债，其还本付息能力最强。,,,,,,,,,,,,,,,20130416,长期信用评级,Aa3,穆迪公司,投资级,稳定,"Aa级债务的信用质量很高，只有极低的信用风险,修正数字3则表示该债务在所属同类评级中排位较低",20130511,长期信用评级,AAA,大公国际资信评估有限公司,投资级,稳定,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 ,,,,,,,
414,2010-3-011102001.IB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20100706,长期信用评级,AAA,大公国际资信评估有限公司,投资级,稳定,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。 ,20100719,长期信用评级,AAA,中诚信国际信用评级有限责任公司,投资级,稳定,受评对象偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。  
415,2010-4-011102005.IB,,,,,,,,,,,,,,,20101208,长期信用评级,AAA,联合资信评估有限公司,投资级,稳定,AAA级债为最高级债，其还本付息能力最强。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
416,2019-2-011105001.IB,,,,,,,,,,,,,,,,,,,,,,20190610,长期信用评级,AAA,联合信用评级有限公司,投资级,稳定,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低,,,,,,,,,,,,,,,,,,,,,,,,,,,,
417,2017-3-011001001.IB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20170918,长期信用评级,A1,穆迪公司,投资级,稳定,A级债务为中上等级，有低信用风险;修正数字1表示该债务在所属同类评 级中排位较高,,,,,,,,20170727,长期信用评级,AAA,中诚信国际信用评级有限责任公司,投资级,稳定,受评对象偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。  
418,2013-3-011001001.IB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20130729,长期信用评级,AAA+,中债资信评估有限责任公司,投资级,稳定,偿还债务的能力极强，基本不受利经济环境影响，违约风险极低,,,,,,,,,,,,,,,,,,,,,
419,2016-2-011105002.IB,,,,,,,,,,,,,,,,,,,,,,20160601,长期信用评级,AAA,联合信用评级有限公司,投资级,稳定,偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低,,,,,,,,,,,,,,,,,,,,,,20160525,长期信用评级,AAA,中诚信国际信用评级有限责任公司,投资级,稳定,受评对象偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。  
420,2017-3-011101005.IB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20170918,长期信用评级,A1,穆迪公司,投资级,稳定,A级债务为中上等级，有低信用风险;修正数字1表示该债务在所属同类评 级中排位较高,,,,,,,,20170727,长期信用评级,AAA,中诚信国际信用评级有限责任公司,投资级,稳定,受评对象偿还债务的能力极强，基本不受不利经济环境的影响，违约风险极低。  
